case_id,algorithm,selected_item_ids_checksum,median_wall_runtime_seconds_level_03,median_used_container_count_level_03,median_total_container_cost_level_03,level_id_level_03,median_wall_runtime_seconds_level_04,median_used_container_count_level_04,median_total_container_cost_level_04,level_id_level_04,median_wall_runtime_seconds_level_05,median_used_container_count_level_05,median_total_container_cost_level_05,level_id,level_04_vs_03_runtime_ratio,level_05_vs_04_runtime_ratio,level_04_minus_03_containers,level_05_minus_04_containers
random_random_s211_i300,extreme_point_ffd,25dfd69657bedd98d82c0dd23680d191a9471562a50bef90d739c272d630d181,4.449624000000767,12.0,24000.0,level_03,5.534347200009506,13.0,26000.0,level_04,7.547871799994027,13.0,26000.0,level_05,1.2437786203977126,1.363823324995053,1.0,0.0
random_random_s211_i300,maximal_space_best_fit,25dfd69657bedd98d82c0dd23680d191a9471562a50bef90d739c272d630d181,3.182695199997397,12.0,24000.0,level_03,3.879824400006328,12.0,24000.0,level_04,5.054235699994024,12.0,24000.0,level_05,1.219037374364187,1.3026970241193856,0.0,0.0
random_random_s211_i50,extreme_point_best_fit,f917c3960908363275da9ac0afda62afb5f07db3834eeb35babb00b485e04d65,0.563151000009384,2.0,4000.0,level_03,0.5721243999723811,3.0,6000.0,level_04,1.0306338999944271,3.0,6000.0,level_05,1.0159342697834994,1.8014157411293423,1.0,0.0
random_random_s211_i50,extreme_point_ffd,f917c3960908363275da9ac0afda62afb5f07db3834eeb35babb00b485e04d65,0.5420064000063576,2.0,4000.0,level_03,0.5136248000198975,3.0,6000.0,level_04,0.9172045000013896,3.0,6000.0,level_05,0.9476360426996302,1.7857480790761227,1.0,0.0
random_random_s211_i50,maximal_space_best_fit,f917c3960908363275da9ac0afda62afb5f07db3834eeb35babb00b485e04d65,0.5138005999906454,2.0,4000.0,level_03,0.4013993999978993,2.0,4000.0,level_04,0.7147880999837071,2.0,4000.0,level_05,0.7812357556709888,1.7807403299243791,0.0,0.0
random_random_s211_i500,extreme_point_best_fit,b6673c2177ca1e31adc17c6db32eca29edc096b39b4f2d8dfc96bc65b3ce1e00,10.369591800001215,20.0,40000.0,level_03,17.065920000022743,21.0,42000.0,level_04,14.886239500017837,21.0,42000.0,level_05,1.6457658439381135,0.8722787578986658,1.0,0.0
random_random_s211_i500,extreme_point_ffd,b6673c2177ca1e31adc17c6db32eca29edc096b39b4f2d8dfc96bc65b3ce1e00,9.231039299978876,20.0,40000.0,level_03,16.242196099978173,21.0,42000.0,level_04,12.215191199997207,21.0,42000.0,level_05,1.7595197650188035,0.7520652456605682,1.0,0.0
random_random_s211_i500,maximal_space_best_fit,b6673c2177ca1e31adc17c6db32eca29edc096b39b4f2d8dfc96bc65b3ce1e00,5.51986199998646,19.0,38000.0,level_03,8.780888699984644,20.0,40000.0,level_04,7.69522429999779,21.0,42000.0,level_05,1.59078047603476,0.8763605328480303,1.0,1.0
random_random_s307_i100,extreme_point_best_fit,f56146b195e5c2512a543fcd1c552540984c5d12e4dd7ef8f232cb42df3e94d4,0.9055861000088044,4.0,8000.0,level_03,1.279099800012773,5.0,10000.0,level_04,2.3597127000102773,5.0,10000.0,level_05,1.4124552044254401,1.8448229762734023,1.0,0.0
random_random_s307_i100,extreme_point_ffd,f56146b195e5c2512a543fcd1c552540984c5d12e4dd7ef8f232cb42df3e94d4,0.8255326000216883,4.0,8000.0,level_03,1.0771952999930363,5.0,10000.0,level_04,1.837942500016652,5.0,10000.0,level_05,1.304848893871346,1.7062295946041852,1.0,0.0
